input_deg,output_deg
27.456000,33.428305
27.596473,33.579302
27.737090,33.730275
27.877850,33.881222
28.018751,34.032141
28.159790,34.183029
28.300967,34.333885
28.442279,34.484706
28.583724,34.635490
28.725301,34.786235
28.867008,34.936938
29.008843,35.087598
29.150804,35.238212
29.292889,35.388778
29.435096,35.539295
29.577425,35.689758
29.719872,35.840168
29.862436,35.990521
30.005116,36.140816
30.147908,36.291050
30.290813,36.441221
30.433826,36.591327
30.576948,36.741367
30.720176,36.891337
30.863508,37.041237
31.006942,37.191063
31.150477,37.340815
31.294111,37.490489
31.437842,37.640084
31.581667,37.789597
31.725586,37.939028
31.869596,38.088374
32.013696,38.237632
32.157884,38.386801
32.302157,38.535879
32.446515,38.684864
32.590955,38.833754
32.735475,38.982547
32.880074,39.131242
33.024749,39.279835
33.169500,39.428326
33.314324,39.576712
33.459219,39.724992
33.604183,39.873163
33.749216,40.021224
33.894313,40.169173
34.039475,40.317008
34.184700,40.464728
34.329984,40.612329
34.475327,40.759811
34.620727,40.907172
34.766181,41.054410
34.911689,41.201522
35.057247,41.348508
35.202855,41.495366
35.348511,41.642093
35.494212,41.788688
35.639957,41.935149
35.785744,42.081475
35.931572,42.227663
36.077438,42.373712
36.223340,42.519620
36.369277,42.665386
36.515247,42.811008
36.661248,42.956484
36.807278,43.101812
36.953336,43.246990
37.099419,43.392018
37.245527,43.536893
37.391656,43.681614
37.537805,43.826179
37.683972,43.970586
37.830156,44.114833
37.976355,44.258920
38.122566,44.402845
38.268788,44.546605
38.415020,44.690199
38.561258,44.833626
38.707502,44.976884
38.853750,45.119972
39.000000,45.262887
39.146250,45.405629
39.292498,45.548195
39.438742,45.690585
39.584981,45.832797
39.731212,45.974828
39.877434,46.116678
40.023645,46.258345
40.169844,46.399828
40.316028,46.541125
40.462195,46.682234
40.608344,46.823154
40.754474,46.963884
40.900581,47.104422
41.046664,47.244767
41.192722,47.384917
41.338752,47.524870
41.484753,47.664626
41.630723,47.804182
41.776660,47.943538
41.922563,48.082692
42.068428,48.221642
42.214256,48.360388
42.360043,48.498927
42.505788,48.637259
42.651489,48.775381
42.797145,48.913293
42.942753,49.050993
43.088312,49.188480
43.233819,49.325752
43.379273,49.462808
43.524673,49.599647
43.670016,49.736267
43.815300,49.872667
43.960525,50.008846
44.105687,50.144802
44.250785,50.280535
44.395817,50.416041
44.540781,50.551322
44.685676,50.686374
44.830500,50.821197
44.975251,50.955790
45.119926,51.090151
45.264525,51.224279
45.409046,51.358172
45.553485,51.491830
45.697843,51.625252
45.842116,51.758434
45.986304,51.891378
46.130404,52.024081
46.274414,52.156542
46.418333,52.288761
46.562159,52.420734
46.705889,52.552463
46.849523,52.683944
46.993058,52.815178
47.136492,52.946163
47.279824,53.076897
47.423052,53.207380
47.566174,53.337610
47.709188,53.467586
47.852092,53.597308
47.994884,53.726773
48.137564,53.855980
48.280128,53.984929
48.422575,54.113619
48.564904,54.242047
48.707111,54.370214
48.849197,54.498117
48.991157,54.625757
49.132992,54.753131
49.274699,54.880238
49.416276,55.007078
49.557721,55.133649
49.699033,55.259950
49.840210,55.385981
49.981250,55.511739
50.122150,55.637224
50.262910,55.762435
50.403527,55.887371
50.544000,56.012030
50.684327,56.136412
50.824505,56.260516
50.964534,56.384340
51.104411,56.507883
51.244134,56.631145
51.383702,56.754124
51.523112,56.876819
51.662364,56.999229
51.801455,57.121354
51.940383,57.243191
52.079146,57.364741
52.217744,57.486001
52.356172,57.606972
52.494431,57.727652
52.632519,57.848040
52.770432,57.968135
52.908170,58.087935
53.045731,58.207441
53.183112,58.326651
53.320313,58.445564
53.457330,58.564179
53.594163,58.682495
53.730810,58.800511
53.867268,58.918226
54.003536,59.035639
54.139612,59.152750
54.275495,59.269556
54.411182,59.386058
54.546671,59.502254
54.681961,59.618144
54.817050,59.733726
54.951936,59.848999
55.086617,59.963963
55.221092,60.078616
55.355358,60.192958
55.489415,60.306987
55.623259,60.420704
55.756889,60.534106
55.890303,60.647193
56.023500,60.759964
56.156478,60.872418
56.289234,60.984555
56.421767,61.096373
56.554076,61.207871
56.686157,61.319048
56.818010,61.429904
56.949633,61.540438
57.081024,61.650648
57.212181,61.760535
57.343102,61.870096
57.473785,61.979332
57.604229,62.088241
57.734431,62.196822
57.864390,62.305075
57.994104,62.412998
58.123572,62.520591
58.252791,62.627853
58.381759,62.734783
58.510475,62.841381
58.638938,62.947644
58.767144,63.053573
58.895092,63.159167
59.022781,63.264425
59.150208,63.369345
59.277372,63.473928
59.404271,63.578172
59.530903,63.682077
59.657267,63.785641
59.783359,63.888864
59.909180,63.991745
60.034726,64.094283
60.159996,64.196477
60.284988,64.298327
60.409701,64.399832
60.534132,64.500990
60.658280,64.601802
60.782142,64.702266
60.905717,64.802381
61.029004,64.902147
61.152000,65.001564
61.274703,65.100629
61.397113,65.199342
61.519226,65.297703
61.641041,65.395711
61.762556,65.493365
61.883769,65.590664
62.004679,65.687607
62.125284,65.784194
62.245582,65.880424
62.365570,65.976296
62.485248,66.071809
62.604614,66.166963
62.723664,66.261757
62.842399,66.356189
62.960815,66.450260
63.078912,66.543969
63.196687,66.637314
63.314138,66.730296
63.431264,66.822913
63.548063,66.915164
63.664532,67.007049
63.780671,67.098567
63.896477,67.189718
64.011948,67.280500
64.127083,67.370913
64.241880,67.460957
64.356337,67.550630
64.470452,67.639931
64.584223,67.728861
64.697648,67.817418
64.810727,67.905601
64.923456,67.993411
65.035834,68.080845
65.147860,68.167904
65.259530,68.254587
65.370845,68.340894
65.481800,68.426822
65.592396,68.512372
65.702630,68.597544
65.812500,68.682335
65.922004,68.766746
66.031141,68.850777
66.139909,68.934425
66.248306,69.017692
66.356329,69.100575
66.463978,69.183075
66.571250,69.265190
66.678144,69.346920
66.784658,69.428265
66.890789,69.509223
66.996537,69.589795
67.101899,69.669978
67.206873,69.749774
67.311458,69.829181
67.415651,69.908198
67.519452,69.986825
67.622858,70.065061
67.725867,70.142906
67.828477,70.220359
67.930688,70.297419
68.032495,70.374086
68.133899,70.450359
68.234898,70.526238
68.335488,70.601722
68.435669,70.676810
68.535439,70.751501
68.634795,70.825796
68.733737,70.899694
68.832261,70.973193
68.930367,71.046294
69.028053,71.118996
69.125316,71.191298
69.222155,71.263199
69.318568,71.334700
69.414554,71.405799
69.510110,71.476496
69.605234,71.546791
69.699925,71.616682
69.794181,71.686170
69.888000,71.755254
69.981380,71.823933
70.074320,71.892207
70.166817,71.960075
70.258871,72.027537
70.350478,72.094592
70.441637,72.161239
70.532346,72.227479
70.622604,72.293310
70.712409,72.358733
70.801758,72.423746
70.890650,72.488350
70.979084,72.552543
71.067056,72.616325
71.154566,72.679696
71.241612,72.742656
71.328192,72.805203
71.414304,72.867337
71.499946,72.929059
71.585116,72.990366
71.669813,73.051260
71.754034,73.111740
71.837778,73.171804
71.921043,73.231454
72.003828,73.290687
72.086130,73.349504
72.167947,73.407905
72.249278,73.465889
72.330122,73.523456
72.410475,73.580604
72.490336,73.637335
72.569704,73.693647
72.648576,73.749540
72.726951,73.805014
72.804827,73.860068
72.882202,73.914702
72.959075,73.968916
73.035442,74.022709
73.111304,74.076081
73.186657,74.129032
73.261500,74.181560
73.335831,74.233667
73.409649,74.285351
73.482951,74.336613
73.555736,74.387451
73.628001,74.437866
73.699745,74.487858
73.770967,74.537426
73.841664,74.586569
73.911834,74.635288
73.981477,74.683582
74.050589,74.731451
74.119169,74.778894
74.187215,74.825912
74.254725,74.872505
74.321698,74.918671
74.388132,74.964410
74.454025,75.009724
74.519374,75.054610
74.584179,75.099069
74.648438,75.143101
74.712147,75.186706
74.775307,75.229883
74.837914,75.272632
74.899968,75.314953
74.961466,75.356845
75.022406,75.398309
75.082787,75.439345
75.142607,75.479951
75.201863,75.520129
75.260555,75.559877
75.318680,75.599196
75.376236,75.638085
75.433222,75.676545
75.489636,75.714575
75.545476,75.752175
75.600740,75.789344
75.655426,75.826083
75.709532,75.862392
75.763058,75.898271
75.816000,75.933718
75.868357,75.968735
75.920128,76.003320
75.971309,76.037475
76.021901,76.071198
76.071899,76.104490
76.121304,76.137357
76.170113,76.169783
76.218324,76.201779
76.265935,76.233343
76.312945,76.264476
76.359352,76.295177
76.405153,76.325445
76.450348,76.355282
76.494934,76.384686
76.538909,76.413658
76.582272,76.442196
76.625021,76.470303
76.667153,76.497976
76.708668,76.525216
76.749562,76.552023
76.789836,76.578397
76.829486,76.604337
76.868510,76.629843
76.906908,76.654916
76.944677,76.679555
76.981815,76.703760
77.018320,76.727531
77.054192,76.750868
77.089426,76.773770
77.124023,76.796237
77.157981,76.818270
77.191296,76.839868
77.223968,76.861030
77.255995,76.881757
77.287374,76.902048
77.318105,76.921904
77.348184,76.941323
77.377611,76.960306
77.406384,76.978853
77.434500,76.996962
77.461958,77.014635
77.488756,77.031870
77.514893,77.048667
77.540365,77.065027
77.565173,77.080948
77.589313,77.096430
77.612784,77.111474
77.635584,77.126078
77.657711,77.140242
77.679164,77.153966
77.699940,77.167250
77.720039,77.180093
77.739457,77.192494
77.758193,77.204453
77.776245,77.215970
77.793612,77.227044
77.810292,77.237674
77.826282,77.247860
77.841581,77.257602
77.856188,77.266899
77.870099,77.275749
77.883314,77.284154
77.895831,77.292111
77.907648,77.299621
77.918763,77.306682
77.929174,77.313293
77.938879,77.319455
77.947877,77.325167
77.956165,77.330426
77.963742,77.335233
77.970606,77.339587
77.976756,77.343487
77.982189,77.346932
77.986903,77.349921
77.990897,77.352453
77.994169,77.354527
77.996718,77.356142
77.998540,77.357297
77.999635,77.357991
78.000000,77.358223
