input_deg,output_deg
33.428305,40.204330
33.579302,40.394138
33.730275,40.584106
33.881222,40.774233
34.032141,40.964516
34.183029,41.154955
34.333885,41.345547
34.484706,41.536292
34.635490,41.727188
34.786235,41.918232
34.936938,42.109425
35.087598,42.300764
35.238212,42.492248
35.388778,42.683875
35.539295,42.875645
35.689758,43.067554
35.840168,43.259602
35.990521,43.451788
36.140816,43.644110
36.291050,43.836566
36.441221,44.029155
36.591327,44.221876
36.741367,44.414726
36.891337,44.607705
37.041237,44.800811
37.191063,44.994043
37.340815,45.187399
37.490489,45.380877
37.640084,45.574476
37.789597,45.768196
37.939028,45.962033
38.088374,46.155988
38.237632,46.350057
38.386801,46.544241
38.535879,46.738536
38.684864,46.932943
38.833754,47.127459
38.982547,47.322084
39.131242,47.516814
39.279835,47.711650
39.428326,47.906590
39.576712,48.101632
39.724992,48.296774
39.873163,48.492016
40.021224,48.687356
40.169173,48.882792
40.317008,49.078323
40.464728,49.273948
40.612329,49.469665
40.759811,49.665472
40.907172,49.861368
41.054410,50.057353
41.201522,50.253423
41.348508,50.449579
41.495366,50.645818
41.642093,50.842138
41.788688,51.038540
41.935149,51.235020
42.081475,51.431578
42.227663,51.628213
42.373712,51.824922
42.519620,52.021705
42.665386,52.218559
42.811008,52.415484
42.956484,52.612478
43.101812,52.809540
43.246990,53.006668
43.392018,53.203860
43.536893,53.401116
43.681614,53.598434
43.826179,53.795812
43.970586,53.993250
44.114833,54.190745
44.258920,54.388296
44.402845,54.585901
44.546605,54.783560
44.690199,54.981271
44.833626,55.179033
44.976884,55.376843
45.119972,55.574701
45.262887,55.772605
45.405629,55.970554
45.548195,56.168546
45.690585,56.366580
45.832797,56.564655
45.974828,56.762768
46.116678,56.960919
46.258345,57.159106
46.399828,57.357328
46.541125,57.555583
46.682234,57.753870
46.823154,57.952187
46.963884,58.150534
47.104422,58.348907
47.244767,58.547307
47.384917,58.745732
47.524870,58.944180
47.664626,59.142650
47.804182,59.341140
47.943538,59.539649
48.082692,59.738175
48.221642,59.936718
48.360388,60.135275
48.498927,60.333845
48.637259,60.532427
48.775381,60.731020
48.913293,60.929621
49.050993,61.128230
49.188480,61.326845
49.325752,61.525464
49.462808,61.724087
49.599647,61.922711
49.736267,62.121335
49.872667,62.319959
50.008846,62.518579
50.144802,62.717196
50.280535,62.915806
50.416041,63.114410
50.551322,63.313006
50.686374,63.511591
50.821197,63.710166
50.955790,63.908727
51.090151,64.107274
51.224279,64.305806
51.358172,64.504320
51.491830,64.702816
51.625252,64.901292
51.758434,65.099746
51.891378,65.298177
52.024081,65.496583
52.156542,65.694964
52.288761,65.893317
52.420734,66.091642
52.552463,66.289936
52.683944,66.488198
52.815178,66.686427
52.946163,66.884622
53.076897,67.082780
53.207380,67.280900
53.337610,67.478981
53.467586,67.677022
53.597308,67.875020
53.726773,68.072975
53.855980,68.270885
53.984929,68.468748
54.113619,68.666562
54.242047,68.864328
54.370214,69.062042
54.498117,69.259703
54.625757,69.457311
54.753131,69.654863
54.880238,69.852358
55.007078,70.049794
55.133649,70.247170
55.259950,70.444484
55.385981,70.641735
55.511739,70.838921
55.637224,71.036042
55.762435,71.233094
55.887371,71.430077
56.012030,71.626990
56.136412,71.823830
56.260516,72.020596
56.384340,72.217287
56.507883,72.413901
56.631145,72.610436
56.754124,72.806891
56.876819,73.003265
56.999229,73.199555
57.121354,73.395761
57.243191,73.591880
57.364741,73.787911
57.486001,73.983853
57.606972,74.179704
57.727652,74.375462
57.848040,74.571127
57.968135,74.766695
58.087935,74.962166
58.207441,75.157537
58.326651,75.352809
58.445564,75.547978
58.564179,75.743043
58.682495,75.938003
58.800511,76.132855
58.918226,76.327599
59.035639,76.522233
59.152750,76.716754
59.269556,76.911162
59.386058,77.105455
59.502254,77.299631
59.618144,77.493688
59.733726,77.687625
59.848999,77.881440
59.963963,78.075131
60.078616,78.268697
60.192958,78.462137
60.306987,78.655447
60.420704,78.848627
60.534106,79.041675
60.647193,79.234589
60.759964,79.427368
60.872418,79.620009
60.984555,79.812512
61.096373,80.004873
61.207871,80.197092
61.319048,80.389167
61.429904,80.581096
61.540438,80.772877
61.650648,80.964509
61.760535,81.155989
61.870096,81.347316
61.979332,81.538488
62.088241,81.729504
62.196822,81.920360
62.305075,82.111057
62.412998,82.301591
62.520591,82.491961
62.627853,82.682165
62.734783,82.872201
62.841381,83.062067
62.947644,83.251762
63.053573,83.441284
63.159167,83.630630
63.264425,83.819799
63.369345,84.008788
63.473928,84.197596
63.578172,84.386222
63.682077,84.574662
63.785641,84.762915
63.888864,84.950979
63.991745,85.138853
64.094283,85.326533
64.196477,85.514018
64.298327,85.701306
64.399832,85.888396
64.500990,86.075284
64.601802,86.261968
64.702266,86.448448
64.802381,86.634720
64.902147,86.820783
65.001564,87.006635
65.100629,87.192273
65.199342,87.377694
65.297703,87.562898
65.395711,87.747882
65.493365,87.932644
65.590664,88.117181
65.687607,88.301491
65.784194,88.485573
65.880424,88.669423
65.976296,88.853040
66.071809,89.036421
66.166963,89.219564
66.261757,89.402467
66.356189,89.585127
66.450260,89.767542
66.543969,89.949710
66.637314,90.131628
66.730296,90.313294
66.822913,90.494705
66.915164,90.675860
67.007049,90.856755
67.098567,91.037389
67.189718,91.217758
67.280500,91.397860
67.370913,91.577693
67.460957,91.757254
67.550630,91.936540
67.639931,92.115550
67.728861,92.294279
67.817418,92.472727
67.905601,92.650889
67.993411,92.828764
68.080845,93.006349
68.167904,93.183641
68.254587,93.360636
68.340894,93.537334
68.426822,93.713730
68.512372,93.889822
68.597544,94.065606
68.682335,94.241081
68.766746,94.416244
68.850777,94.591090
68.934425,94.765619
69.017692,94.939825
69.100575,95.113707
69.183075,95.287262
69.265190,95.460486
69.346920,95.633376
69.428265,95.805930
69.509223,95.978143
69.589795,96.150014
69.669978,96.321538
69.749774,96.492713
69.829181,96.663535
69.908198,96.834001
69.986825,97.004108
70.065061,97.173853
70.142906,97.343231
70.220359,97.512240
70.297419,97.680875
70.374086,97.849135
70.450359,98.017015
70.526238,98.184511
70.601722,98.351620
70.676810,98.518339
70.751501,98.684663
70.825796,98.850590
70.899694,99.016115
70.973193,99.181234
71.046294,99.345944
71.118996,99.510241
71.191298,99.674122
71.263199,99.837581
71.334700,100.000615
71.405799,100.163221
71.476496,100.325394
71.546791,100.487130
71.616682,100.648425
71.686170,100.809275
71.755254,100.969676
71.823933,101.129622
71.892207,101.289111
71.960075,101.448138
72.027537,101.606698
72.094592,101.764787
72.161239,101.922401
72.227479,102.079534
72.293310,102.236183
72.358733,102.392342
72.423746,102.548008
72.488350,102.703175
72.552543,102.857839
72.616325,103.011995
72.679696,103.165638
72.742656,103.318763
72.805203,103.471365
72.867337,103.623439
72.929059,103.774980
72.990366,103.925983
73.051260,104.076443
73.111740,104.226355
73.171804,104.375713
73.231454,104.524512
73.290687,104.672747
73.349504,104.820411
73.407905,104.967501
73.465889,105.114010
73.523456,105.259932
73.580604,105.405262
73.637335,105.549994
73.693647,105.694123
73.749540,105.837642
73.805014,105.980546
73.860068,106.122829
73.914702,106.264484
73.968916,106.405506
74.022709,106.545889
74.076081,106.685626
74.129032,106.824711
74.181560,106.963138
74.233667,107.100900
74.285351,107.237991
74.336613,107.374405
74.387451,107.510135
74.437866,107.645174
74.487858,107.779515
74.537426,107.913153
74.586569,108.046079
74.635288,108.178288
74.683582,108.309772
74.731451,108.440525
74.778894,108.570538
74.825912,108.699806
74.872505,108.828321
74.918671,108.956075
74.964410,109.083062
75.009724,109.209273
75.054610,109.334703
75.099069,109.459342
75.143101,109.583184
75.186706,109.706221
75.229883,109.828445
75.272632,109.949849
75.314953,110.070424
75.356845,110.190164
75.398309,110.309059
75.439345,110.427102
75.479951,110.544285
75.520129,110.660600
75.559877,110.776038
75.599196,110.890592
75.638085,111.004253
75.676545,111.117013
75.714575,111.228863
75.752175,111.339796
75.789344,111.449802
75.826083,111.558873
75.862392,111.667000
75.898271,111.774175
75.933718,111.880390
75.968735,111.985634
76.003320,112.089901
76.037475,112.193180
76.071198,112.295463
76.104490,112.396741
76.137357,112.496972
76.169783,112.596225
76.201779,112.694442
76.233343,112.791615
76.264476,112.887736
76.295177,112.982796
76.325445,113.076787
76.355282,113.169700
76.384686,113.261527
76.413658,113.352256
76.442196,113.441881
76.470303,113.530391
76.497976,113.617776
76.525216,113.704029
76.552023,113.789139
76.578397,113.873097
76.604337,113.955893
76.629843,114.037520
76.654916,114.117966
76.679555,114.197223
76.703760,114.275281
76.727531,114.352131
76.750868,114.427764
76.773770,114.502170
76.796237,114.575340
76.818270,114.647265
76.839868,114.717935
76.861030,114.787341
76.881757,114.855475
76.902048,114.922326
76.921904,114.987886
76.941323,115.052145
76.960306,115.115095
76.978853,115.176726
76.996962,115.237029
77.014635,115.295996
77.031870,115.353617
77.048667,115.409884
77.065027,115.464788
77.080948,115.518321
77.096430,115.570472
77.111474,115.621235
77.126078,115.670601
77.140242,115.718560
77.153966,115.765106
77.167250,115.810228
77.180093,115.853921
77.192494,115.896174
77.204453,115.936982
77.215970,115.976334
77.227044,116.014225
77.237674,116.050645
77.247860,116.085589
77.257602,116.119047
77.266899,116.151014
77.275749,116.181481
77.284154,116.210442
77.292111,116.237890
77.299621,116.263817
77.306682,116.288218
77.313293,116.311086
77.319455,116.332415
77.325167,116.352197
77.330426,116.370428
77.335233,116.387101
77.339587,116.402211
77.343487,116.415751
77.346932,116.427717
77.349921,116.438102
77.352453,116.446903
77.354527,116.454114
77.356142,116.459730
77.357297,116.463746
77.357991,116.466158
77.358223,116.466963
